###  Translation from RTF performed by UnRTF, version 0.21.9 

TITLE: 
### creation date: 18 December 2018 07:17 
### font table contains 2 fonts total

-----------------

	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
	Kenya	Current Health Expenditure (CHE) per Capita in US$		57	65	68	71	66	66
	Lesotho	Current Health Expenditure (CHE) per Capita in US$		121	113	111	108	97	86
	Liberia	Current Health Expenditure (CHE) per Capita in US$		54	55	58	64	72	68
	Madagascar	Current Health Expenditure (CHE) per Capita in US$		23	18	20	23	22	24
	Malawi	Current Health Expenditure (CHE) per Capita in US$		38	32	39	34	34	30
	Mali	Current Health Expenditure (CHE) per Capita in US$		34	34	42	38	31	30


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Mauritania	Current Health Expenditure (CHE) per Capita in US$		44	46	52	55	54	47
	Mauritius	Current Health Expenditure (CHE) per Capita in US$		397	398	453	560	529	553
	Mozambique	Current Health Expenditure (CHE) per Capita in US$		23	31	32	37	27	19
	Namibia	Current Health Expenditure (CHE) per Capita in US$		544	528	474	442	466	403
	Niger	Current Health Expenditure (CHE) per Capita in US$		25	23	25	25	26	23
	Nigeria	Current Health Expenditure (CHE) per Capita in US$		84	92	102	107	98	79
	Rwanda	Current Health Expenditure (CHE) per Capita in US$		52	57	52	49	46	48


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Sao Tome and Principe	Current Health Expenditure (CHE) per Capita in US$		88	89	129	123	87	105
	Senegal	Current Health Expenditure (CHE) per Capita in US$		55	54	59	60	51	53
	Seychelles	Current Health Expenditure (CHE) per Capita in US$		391	506	497	490	492	597
	Sierra Leone	Current Health Expenditure (CHE) per Capita in US$		59	60	82	140	120	86
	South Africa	Current Health Expenditure (CHE) per Capita in US$		597	580	526	510	471	428
	Swaziland	Current Health Expenditure (CHE) per Capita in US$		330	284	264	252	231	221
	Togo	Current Health Expenditure (CHE) per Capita in US$		35	35	39	40	35	39


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Uganda	Current Health Expenditure (CHE) per Capita in US$		54	53	50	48	40	38
	United Republic of Tanzania	Current Health Expenditure (CHE) per Capita in US$		38	41	42	38	32	35
	Zambia	Current Health Expenditure (CHE) per Capita in US$		57	68	87	67	59	57
	Zimbabwe	Current Health Expenditure (CHE) per Capita in US$		67	66	67	89	94	94
	Antigua and Barbuda	Current Health Expenditure (CHE) per Capita in US$		680	644	656	750	644	623
	Argentina	Current Health Expenditure (CHE) per Capita in US$		1,068	1,161	1,208	1,087	1,299	955
	Bahamas	Current Health Expenditure (CHE) per Capita in US$		1,661	1,742	1,697	1,688	1,740	1,835


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Barbados	Current Health Expenditure (CHE) per Capita in US$		1,145	1,273	1,258	1,178	1,158	1,164
	Belize	Current Health Expenditure (CHE) per Capita in US$		252	249	268	274	291	304
	Bolivia Plurinational States of 	Current Health Expenditure (CHE) per Capita in US$		120	136	163	180	198	213
	Brazil	Current Health Expenditure (CHE) per Capita in US$		1,288	1,234	1,251	1,301	1,003	1,016
	Canada	Current Health Expenditure (CHE) per Capita in US$		5,298	5,353	5,296	5,038	4,502	4,458
	Chile	Current Health Expenditure (CHE) per Capita in US$		996	1,083	1,187	1,155	1,140	1,191
	Colombia	Current Health Expenditure (CHE) per Capita in US$		419	448	467	459	364	340


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Costa Rica	Current Health Expenditure (CHE) per Capita in US$		743	774	812	830	886	889
	Cuba	Current Health Expenditure (CHE) per Capita in US$		693	598	705	856	973	971
	Dominica	Current Health Expenditure (CHE) per Capita in US$		399	396	382	398	399	419
	Dominican Republic	Current Health Expenditure (CHE) per Capita in US$		327	352	351	371	391	414
	Ecuador	Current Health Expenditure (CHE) per Capita in US$		411	484	520	551	528	505
	El Salvador	Current Health Expenditure (CHE) per Capita in US$		258	257	272	276	283	294
	Grenada	Current Health Expenditure (CHE) per Capita in US$		445	432	441	446	454	516


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Guatemala	Current Health Expenditure (CHE) per Capita in US$		187	194	204	219	216	241
	Guyana	Current Health Expenditure (CHE) per Capita in US$		169	183	196	207	184	192
	Haiti	Current Health Expenditure (CHE) per Capita in US$		75	73	58	64	42	38
	Honduras	Current Health Expenditure (CHE) per Capita in US$		185	188	177	179	181	200
	Jamaica	Current Health Expenditure (CHE) per Capita in US$		251	260	262	254	280	296
	Mexico	Current Health Expenditure (CHE) per Capita in US$		547	563	604	586	525	462
	Nicaragua	Current Health Expenditure (CHE) per Capita in US$		119	134	135	153	166	188


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Panama	Current Health Expenditure (CHE) per Capita in US$		619	705	790	884	930	1,041
	Paraguay	Current Health Expenditure (CHE) per Capita in US$		268	294	312	359	321	327
	Peru	Current Health Expenditure (CHE) per Capita in US$		265	303	319	332	314	316
	Saint Kitts and Nevis	Current Health Expenditure (CHE) per Capita in US$		830	764	782	826	832	931
	Saint Lucia	Current Health Expenditure (CHE) per Capita in US$		490	482	487	501	494	490
	Saint Vincent and the Grenadines	Current Health Expenditure (CHE) per Capita in US$		221	244	250	244	242	250
	Suriname	Current Health Expenditure (CHE) per Capita in US$		449	495	521	538	585	356


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Trinidad and Tobago	Current Health Expenditure (CHE) per Capita in US$		912	937	1,017	1,061	1,116	1,064
	United States of America	Current Health Expenditure (CHE) per Capita in US$		8,165	8,438	8,639	9,053	9,524	9,870
	Uruguay	Current Health Expenditure (CHE) per Capita in US$		1,223	1,323	1,489	1,468	1,399	1,379
	Venezuela (Bolivarian Republic of)	Current Health Expenditure (CHE) per Capita in US$		691	694	635	906	1,578	
	Afghanistan	Current Health Expenditure (CHE) per Capita in US$		52	52	56	60	60	57
	Bahrain	Current Health Expenditure (CHE) per Capita in US$		805	971	1,066	1,101	1,129	1,099
	Djibouti	Current Health Expenditure (CHE) per Capita in US$		68	71	67	72	82	70


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Egypt	Current Health Expenditure (CHE) per Capita in US$		123	143	140	154	157	131
	Iran	Current Health Expenditure (CHE) per Capita in US$		525	519	414	383	375	415
	Iraq	Current Health Expenditure (CHE) per Capita in US$		163	179	195	187	154	153
	Jordan	Current Health Expenditure (CHE) per Capita in US$		318	309	293	302	257	224
	Kuwait	Current Health Expenditure (CHE) per Capita in US$		1,264	1,319	1,251	1,375	1,169	1,068
	Lebanon	Current Health Expenditure (CHE) per Capita in US$		712	714	677	680	661	662
	Libya	Current Health Expenditure (CHE) per Capita in US$		313					


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Morocco	Current Health Expenditure (CHE) per Capita in US$		177	169	178	182	157	171
	Oman	Current Health Expenditure (CHE) per Capita in US$		535	564	593	722	706	648
	Pakistan	Current Health Expenditure (CHE) per Capita in US$		28	28	32	37	38	40
	Qatar	Current Health Expenditure (CHE) per Capita in US$		1,375	1,548	1,833	2,104	2,056	1,827
	Saudi Arabia	Current Health Expenditure (CHE) per Capita in US$		882	1,017	1,113	1,285	1,244	1,147
	Sudan	Current Health Expenditure (CHE) per Capita in US$		122	100	123	116	158	152
	Syria	Current Health Expenditure (CHE) per Capita in US$		83	66				


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Tunisia	Current Health Expenditure (CHE) per Capita in US$		274	273	288	291	268	257
	United Arab Emirates	Current Health Expenditure (CHE) per Capita in US$		1,484	1,442	1,556	1,613	1,402	1,323
	Yemen	Current Health Expenditure (CHE) per Capita in US$		64	74	78	80	72	
	Albania	Current Health Expenditure (CHE) per Capita in US$		247	247	278	313	264	272
	Andorra	Current Health Expenditure (CHE) per Capita in US$		4,014	3,857	4,108	4,346	3,698	3,835
	Armenia	Current Health Expenditure (CHE) per Capita in US$		133	247	318	407	366	359
	Austria	Current Health Expenditure (CHE) per Capita in US$		5,161	4,966	5,234	5,386	4,603	4,688


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Azerbaijan	Current Health Expenditure (CHE) per Capita in US$		334	374	406	440	377	268
	Belarus	Current Health Expenditure (CHE) per Capita in US$		318	364	454	448	361	318
	Belgium	Current Health Expenditure (CHE) per Capita in US$		4,792	4,543	4,804	4,909	4,092	4,149
	Bosnia and Herzegovina	Current Health Expenditure (CHE) per Capita in US$		464	448	478	497	429	444
	Bulgaria	Current Health Expenditure (CHE) per Capita in US$		556	559	601	666	572	612
	Croatia	Current Health Expenditure (CHE) per Capita in US$		1,132	1,030	931	958	838	884
	Cyprus	Current Health Expenditure (CHE) per Capita in US$		2,153	1,942	1,920	1,848	1,582	1,634


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Czech Republic	Current Health Expenditure (CHE) per Capita in US$		1,517	1,387	1,555	1,513	1,284	1,322
	Denmark	Current Health Expenditure (CHE) per Capita in US$		6,281	6,004	6,237	6,381	5,469	5,566
	Estonia	Current Health Expenditure (CHE) per Capita in US$		1,015	1,013	1,144	1,237	1,112	1,185
	Finland	Current Health Expenditure (CHE) per Capita in US$		4,544	4,406	4,714	4,733	4,132	4,117
	France	Current Health Expenditure (CHE) per Capita in US$		4,932	4,650	4,899	5,010	4,212	4,263
	Georgia	Current Health Expenditure (CHE) per Capita in US$		290	323	335	349	281	308
	Germany	Current Health Expenditure (CHE) per Capita in US$		5,019	4,750	5,087	5,278	4,606	4,714


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Greece	Current Health Expenditure (CHE) per Capita in US$		2,354	1,968	1,834	1,725	1,476	1,511
	Hungary	Current Health Expenditure (CHE) per Capita in US$		1,063	961	991	1,006	888	943
	Iceland	Current Health Expenditure (CHE) per Capita in US$		3,928	3,776	4,096	4,515	4,282	5,064
	Ireland	Current Health Expenditure (CHE) per Capita in US$		5,601	5,295	5,349	5,391	4,626	4,759
	Israel	Current Health Expenditure (CHE) per Capita in US$		2,421	2,387	2,659	2,801	2,735	2,837
	Italy	Current Health Expenditure (CHE) per Capita in US$		3,388	3,126	3,196	3,190	2,709	2,739
	Kazakhstan	Current Health Expenditure (CHE) per Capita in US$		311	380	372	348	321	262


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Kyrgyzstan	Current Health Expenditure (CHE) per Capita in US$		80	100	106	108	82	73
	Latvia	Current Health Expenditure (CHE) per Capita in US$		765	746	807	856	776	874
	Lithuania	Current Health Expenditure (CHE) per Capita in US$		925	897	959	1,021	920	988
	Luxembourg	Current Health Expenditure (CHE) per Capita in US$		7,165	7,097	7,536	7,757	6,353	6,271
	Malta	Current Health Expenditure (CHE) per Capita in US$		1,960	1,985	2,290	2,464	2,250	2,328
	Monaco	Current Health Expenditure (CHE) per Capita in US$		3,534	3,398	3,712	3,865	3,315	2,940
	Montenegro	Current Health Expenditure (CHE) per Capita in US$							532


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Netherlands	Current Health Expenditure (CHE) per Capita in US$		5,645	5,402	5,629	5,676	4,662	4,742
	Norway	Current Health Expenditure (CHE) per Capita in US$		8,900	8,970	9,241	9,118	7,566	7,478
	Poland	Current Health Expenditure (CHE) per Capita in US$		866	815	878	896	797	809
	Portugal	Current Health Expenditure (CHE) per Capita in US$		2,208	1,919	1,959	1,987	1,725	1,801
	Republic of Moldova	Current Health Expenditure (CHE) per Capita in US$		215	224	232	231	186	171
	Romania	Current Health Expenditure (CHE) per Capita in US$		427	402	495	503	442	476
	Russian Federation	Current Health Expenditure (CHE) per Capita in US$		685	760	811	742	502	469


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	San Marino	Current Health Expenditure (CHE) per Capita in US$		4,267	4,010	4,018	3,879	3,146	3,013
	Serbia	Current Health Expenditure (CHE) per Capita in US$		619	560	628	609	491	494
	Slovakia	Current Health Expenditure (CHE) per Capita in US$		1,351	1,320	1,370	1,288	1,108	1,179
	Slovenia	Current Health Expenditure (CHE) per Capita in US$		2,145	1,975	2,055	2,060	1,775	1,834
	Spain	Current Health Expenditure (CHE) per Capita in US$		2,899	2,590	2,630	2,671	2,352	2,390
	Sweden	Current Health Expenditure (CHE) per Capita in US$		6,387	6,274	6,723	6,628	5,623	5,711
	Switzerland	Current Health Expenditure (CHE) per Capita in US$		9,572	9,287	9,690	10,015	9,808	9,836


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Tajikistan	Current Health Expenditure (CHE) per Capita in US$		49	57	66	74	63	56
	The former Yugoslav Republic of Macedonia	Current Health Expenditure (CHE) per Capita in US$		330	311	350	344	307	328
	Turkey	Current Health Expenditure (CHE) per Capita in US$		532	525	552	527	455	469
	Turkmenistan	Current Health Expenditure (CHE) per Capita in US$		277	319	376	438	405	423
	Ukraine	Current Health Expenditure (CHE) per Capita in US$		244	276	299	197	142	141
	United Kingdom	Current Health Expenditure (CHE) per Capita in US$		3,501	3,496	4,190	4,568	4,356	3,958
	Uzbekistan	Current Health Expenditure (CHE) per Capita in US$		84	105	115	117	132	135


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Bangladesh	Current Health Expenditure (CHE) per Capita in US$		22	23	26	29	32	34
	Bhutan	Current Health Expenditure (CHE) per Capita in US$		74	80	82	82	91	91
	India	Current Health Expenditure (CHE) per Capita in US$		49	49	56	57	59	63
	Indonesia	Current Health Expenditure (CHE) per Capita in US$		107	107	107	109	100	112
	Maldives	Current Health Expenditure (CHE) per Capita in US$		586	648	675	716	852	1,048
	Myanmar	Current Health Expenditure (CHE) per Capita in US$		19	23	25	64	62	62
	Nepal	Current Health Expenditure (CHE) per Capita in US$		34	34	35	41	45	45


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Sri Lanka	Current Health Expenditure (CHE) per Capita in US$		119	114	139	139	151	153
	Thailand	Current Health Expenditure (CHE) per Capita in US$		196	206	213	219	214	222
	Timor-Leste	Current Health Expenditure (CHE) per Capita in US$		63	70	82	79	87	80
	Australia	Current Health Expenditure (CHE) per Capita in US$		5,877	6,047	5,838	5,638	4,888	5,002
	Brunei Darussalam	Current Health Expenditure (CHE) per Capita in US$		876	882	847	795	739	631
	Cambodia	Current Health Expenditure (CHE) per Capita in US$		66	69	72	73	72	78
	China	Current Health Expenditure (CHE) per Capita in US$		238	284	328	362	393	398


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Cook Islands	Current Health Expenditure (CHE) per Capita in US$		532	528	552	597	467	576
	Fiji	Current Health Expenditure (CHE) per Capita in US$		148	161	165	185	174	180
	Japan	Current Health Expenditure (CHE) per Capita in US$		5,087	5,212	4,336	4,099	3,734	4,233
	Kiribati	Current Health Expenditure (CHE) per Capita in US$		149	154	162	161	118	188
	Lao People's Democratic Republic	Current Health Expenditure (CHE) per Capita in US$		28	33	44	46	53	55
	Malaysia	Current Health Expenditure (CHE) per Capita in US$		353	382	389	422	376	362
	Marshall Islands	Current Health Expenditure (CHE) per Capita in US$		628	657	704	650	768	851


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Micronesia (Federated States of)	Current Health Expenditure (CHE) per Capita in US$		387	377	363	350	368	387
	Mongolia	Current Health Expenditure (CHE) per Capita in US$		122	154	165	156	153	141
	Nauru	Current Health Expenditure (CHE) per Capita in US$		688	858	691	910	903	1,012
	New Zealand	Current Health Expenditure (CHE) per Capita in US$		3,626	3,807	3,956	4,145	3,582	3,745
	Niue	Current Health Expenditure (CHE) per Capita in US$		2,089	1,103	1,119	1,228	872	1,010
	Palau	Current Health Expenditure (CHE) per Capita in US$		1,014	1,183	1,292	1,402	1,471	1,674
	Papua New Guinea	Current Health Expenditure (CHE) per Capita in US$		57	76	84	107	73	55


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Philippines	Current Health Expenditure (CHE) per Capita in US$		99	113	123	117	124	129
	Republic of Korea	Current Health Expenditure (CHE) per Capita in US$		1,523	1,576	1,712	1,910	1,927	2,044
	Samoa	Current Health Expenditure (CHE) per Capita in US$		220	205	257	259	223	227
	Singapore	Current Health Expenditure (CHE) per Capita in US$		1,687	1,848	2,099	2,215	2,302	2,462
	Solomon Islands	Current Health Expenditure (CHE) per Capita in US$		123	109	110	120	103	106
	Tonga	Current Health Expenditure (CHE) per Capita in US$		168	222	177	216	181	203
	Tuvalu	Current Health Expenditure (CHE) per Capita in US$		520	499	512	522	453	507


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Vanuatu	Current Health Expenditure (CHE) per Capita in US$		115	119	132	109	119	110
	Viet Nam	Current Health Expenditure (CHE) per Capita in US$		89	108	119	116	117	123

